#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10780,TRIMOPROSTIL,HMDB0259247,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
pos_10781,DG(8:0/10:0/0:0),HMDB0092901,--,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols
pos_10782,N-Linoleoyl Isoleucine,HMDB0241978,--,--,--,--,--
pos_10791,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0011518,--,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
pos_10805,Biolimus A9,HMDB0249224,--,Organic compounds,Phenylpropanoids and polyketides,Macrolide lactams,--
pos_1081,N-Palmitoyl tyrosine,HMDB0062340,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10815,Gramicidin S,HMDB0252932,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10819,Nopalinic acid,HMDB0029437,63409-16-5,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10832,Talinumoside I,HMDB0040957,145826-48-8,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
pos_10860,Milbemycin beta1,HMDB0254727,--,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,Milbemycins
pos_10864,Tetrahydrobiopterin,HMDB0000027,62989-33-7,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
pos_10885,Phosphocholine,HMDB0001565,3616/4/4,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts
pos_10916,"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,60701-99-7,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
pos_10918,Vinaginsenoside R12,HMDB0040782,156398-71-9,Organic compounds,Benzenoids,Phenols,Benzenediols
pos_10925,Phytolaccoside E,HMDB0034637,65497-07-6,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
pos_10932,"3,4-Hexanedione",HMDB0031492,4437-51-8,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10939,21-Hydroxypregnenolone,HMDB0004026,1164-98-3,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
pos_10940,N-Myristoyl Arginine,HMDB0242046,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10950,"PA(P-16:0/18:2(9Z,12Z))",HMDB0011155,937723-92-7,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates
pos_10966,Glycerol 1-(5-hydroxydodecanoate),HMDB0040168,26446-32-2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
pos_10988,Prostaglandin E1,HMDB0001442,745-65-3,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
pos_10999,Cholylcysteine,HMDB0242372,--,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
pos_11005,Gestrinone,HMDB0002720,16320-04-0,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
pos_11012,2-O-Protocatechuoylalphitolic acid,HMDB0029779,182682-95-7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
pos_11028,2-METHOXYXANTHONE,HMDB0032998,1214-20-6,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans
pos_11031,Egonol,HMDB0034279,530-22-3,Organic compounds,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,--
pos_11034,"(2S,4S,6S)-2-[2-(4-Hydroxy-3-meyhoxyphenyl)ethyl]tetrahydro-6-(4,5-dihydroxy-3-methoxyphenyl)-2H-pyran-4-ol",HMDB0030502,182227-93-6,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids
pos_11036,Janthitrem C,HMDB0040684,73561-91-8,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides
pos_1104,[7]-Gingerol,HMDB0302128,--,Organic compounds,Benzenoids,Phenols,Methoxyphenols
pos_11042,N-Acetyl-3-hydroxyprocainamide,HMDB0060996,--,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
pos_1105,"Bis(2-methylpropanoyloxy)-9,10-epoxy-p-mentha-1,3,5-triene",HMDB0032698,22518-06-5,Organic compounds,Benzenoids,Phenol esters,--
pos_11072,Stearoylcarnitine,HMDB0000848,25597-09-5,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
pos_11081,PG(a-25:0/PGJ2),HMDB0270977,--,--,--,--,--
pos_11098,Ethenyl acetate,HMDB0031209,108-05-4,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
pos_11099,Choline phosphate,HMDB0001565,3616/4/4,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts
pos_11110,10-Oxo-11-octadecen-13-olide,HMDB0029786,--,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,--
