"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"CTSW",-1.68229892896389,8.53813783564384,-8.37011193471728,1.07144127899915e-11,4.32360092360172e-10,16.3613149653322,"Down"
"SLC2A14",1.28797245361027,6.99913389234565,8.3614191017325,1.10871116220856e-11,4.46682670159026e-10,16.3275902669947,"Up"
"CXXC5",-1.25209220772878,8.28945890803777,-8.33667864084066,1.22205563394052e-11,4.91559658196235e-10,16.2315901737118,"Down"
"PTPRCAP",-1.61620696030687,9.08439676899754,-8.33556836193161,1.22740623899616e-11,4.92923208440313e-10,16.227281389726,"Down"
"POMGNT1",-0.874229079278171,7.11731171288552,-8.31227713707985,1.34522841765133e-11,5.36810197138961e-10,16.136881218812,"Down"
"WDR6",-0.86233232723322,8.61852178867581,-8.31177029272274,1.34791470292518e-11,5.37029724747052e-10,16.1349137679223,"Down"
"MAGED1",-0.935816262057471,6.61585744409066,-8.30820164840481,1.3669814831264e-11,5.43764469711991e-10,16.1210608453709,"Down"
"RAB27A",0.86466819322205,7.35121655884115,8.28404638325864,1.50334885473552e-11,5.95184097764581e-10,16.0272810196541,"Up"
"METTL7A",-0.974376518860755,8.5101323427826,-8.2800975442292,1.52690474130506e-11,6.0355951566681e-10,16.0119480442754,"Down"
"CHUK",0.800247917310941,7.58128900367696,8.27569495383992,1.55360398734579e-11,6.12188154261334e-10,15.9948525104241,"Up"
"TAF15",-0.961163394006929,9.23026903202948,-8.26774929230937,1.60298040958575e-11,6.30656142362845e-10,15.9639971985839,"Down"
"ANXA1",1.4217422985977,11.2370307318117,8.2668824356586,1.60846159770742e-11,6.31823821349446e-10,15.9606308022869,"Up"
"HIST2H2BE",1.08567423599139,8.6805829618582,8.26493728772556,1.6208293809418e-11,6.35688777486378e-10,15.9530768136312,"Up"
"KIAA0748",-1.48435825702874,7.2686878064421,-8.26067439570182,1.64826851170884e-11,6.45443463930844e-10,15.9365213767171,"Down"
"OSBPL5",-0.831732862063297,7.16186370594535,-8.25460559747284,1.68813725614529e-11,6.60027536850585e-10,15.912951359988,"Down"
"KLRD1",-1.43942557251312,7.51252392105918,-8.25286487038688,1.6997503312059e-11,6.63536076498702e-10,15.9061904747392,"Down"
"NCL",-1.02736935480131,8.33998405057327,-8.25129625487395,1.71028377850105e-11,6.65581024636476e-10,15.9000979682721,"Down"
"F5",1.35534187690033,7.35227299977454,8.24601453730154,1.74623473026456e-11,6.78521501064159e-10,15.8795831203446,"Up"
"RBMS1",0.873211789406207,8.81775626459522,8.24399056380558,1.76021121431071e-11,6.82896758144619e-10,15.8717214935548,"Up"
"TAF12",1.00302219896114,7.30364499801244,8.24213834069409,1.7730999441953e-11,6.86837174068872e-10,15.8645268622267,"Up"
"TMED3",-0.954238602415501,9.53620248027616,-8.24006205797738,1.78766031254542e-11,6.91412003959873e-10,15.8564617677836,"Down"
"EIF3B",-1.08524384287925,9.36070071873667,-8.23896990239663,1.79536733380139e-11,6.93171273004152e-10,15.8522193475012,"Down"
"SULF2",-1.55871894342252,7.87979053694418,-8.23863696010115,1.79772342879358e-11,6.93171273004152e-10,15.8509260425513,"Down"
"TLR8",1.1704982660333,9.14022602443681,8.23609917392241,1.8157844557242e-11,6.99063112050633e-10,15.8410679564931,"Up"
"SEC11A",0.949280677902266,9.3930235930219,8.23564730907222,1.81901933452014e-11,6.99237707489851e-10,15.8393126540149,"Up"
"PIK3R2",-1.15731138564351,8.89639295649652,-8.23520399876164,1.82219858653371e-11,6.99390419319961e-10,15.837590575371,"Down"
"HSDL2",0.904959298511662,7.91635854250962,8.23097304053468,1.8528231139101e-11,7.10060565300305e-10,15.8211546954774,"Up"
"LOC127295",-1.06949916292152,9.86382795364719,-8.22583258078323,1.89072596714299e-11,7.22221570871936e-10,15.8011848694899,"Down"
"C16orf72",0.879286213368596,9.00940317748989,8.22557068074111,1.89267774867882e-11,7.22221570871936e-10,15.8001674073353,"Up"
"YBX1",-1.33719003508666,11.2602769079534,-8.22550409618133,1.89317428482341e-11,7.22221570871936e-10,15.7999087309057,"Down"
"APEX1",-0.857915241089451,8.72429663996942,-8.21667920475493,1.9601526256548e-11,7.45510393478995e-10,15.7656232974582,"Down"
"UBL5",1.03373139817704,8.29203941589764,8.21398487576448,1.98107135576187e-11,7.5232830640262e-10,15.7551550804485,"Up"
"PEA15",-1.10883205229527,8.9215853032776,-8.21302214989859,1.98860009322944e-11,7.54048361143111e-10,15.7514145636142,"Down"
"LGALS1",1.24260276858121,11.4078426956661,8.20997313532216,2.01263388222789e-11,7.62012286132669e-10,15.7395679017206,"Up"
"IGF2BP3",1.26268573080994,6.23744764331109,8.20844272466903,2.0248068529671e-11,7.65468335091622e-10,15.7336215166277,"Up"
"SH2D1A",-1.3133490630911,7.27777968055459,-8.20113674915827,2.08394401361273e-11,7.84286714105149e-10,15.7052331982239,"Down"
"SPPL2A",1.04226846728164,8.94424239930368,8.19849557674089,2.10574610240169e-11,7.91307279736598e-10,15.6949701455669,"Up"
"BAZ1A",1.17661168812682,8.72704127483616,8.19802158239174,2.10968291472357e-11,7.91603410091801e-10,15.6931282768113,"Up"
"LOC643949",-1.30786695608769,10.1987611362502,-8.19009607420338,2.17661299796941e-11,8.13076534456922e-10,15.6623298918703,"Down"
"KLHL2",1.30689540828002,8.31914643769037,8.18878236418321,2.18791100904739e-11,8.16045420958843e-10,15.65722464109,"Up"
"STOM",1.33969697009362,10.1099467390244,8.18827279039944,2.19230919115965e-11,8.16045420958843e-10,15.6552443550297,"Up"
"SLC25A42",-1.00021213544844,7.38958463834256,-8.18804261701104,2.19429874529904e-11,8.16045420958843e-10,15.6543498613086,"Down"
"ITFG2",-0.992450121787909,7.43980003761206,-8.18124324314037,2.25389416280279e-11,8.36970446866501e-10,15.6279255482711,"Down"
"NSUN2",-0.959609855181663,8.80367260416347,-8.17755652570886,2.2868832427823e-11,8.47968211261757e-10,15.6135972929454,"Down"
"FGR",0.829163805700613,11.4574868005323,8.16246991597097,2.42699940081023e-11,8.9464464716084e-10,15.5549594413336,"Up"
"LANCL1",-0.952634067381394,7.33161485637113,-8.16164893918727,2.43486643608461e-11,8.96230486137146e-10,15.5517683087372,"Down"
"TIGD5",-0.888981295505757,6.84538380762748,-8.14902125067792,2.55914256840351e-11,9.40597136983394e-10,15.5026819576802,"Down"
"TBC1D14",0.820094283582447,9.41069899592234,8.14436518361339,2.60655300267421e-11,9.56536914220385e-10,15.4845816801333,"Up"
