Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Bacillus,0.0009379103357719,0.000562851782363977,0.0013941168269901,0.00116086235489221,0.0012202562538133,0.00184891706286318,0.00544150383378679,0.00281195079086116,0.00410196308233226,0.0056772100567721,0.00565184626978146,0.00532132623823168,0.00107181136120043,0.00164428610578241,0.000667408231368187,0.00114836931557189,0.00117174422497489,0.00173940543959519,0.000533712862479986,0.000415023863872173,0,0.00163781001403837,0.000887383026782833,0
Christensenella,0,0,0.0027882336539802,0.00199004975124378,0.00195241000610128,0.000660327522451136,0,0,0,0,0,0,0.00339406931046802,0.00712523979172376,0.0131256952169077,0,0.00100435219283562,0.00142314990512334,0.000355808574986657,0.00581033409421042,0.00116640746500778,0.00257370145063173,0.00258147789609551,0
Flavonifractor,0.0037516413430876,0.00318949343339587,0.00250941028858218,0.00298507462686567,0.00427089688834655,0.000660327522451136,0.00371011625030918,0,0.0017579841781424,0.00283860502838605,0.00188394875659382,0.000818665575112567,0,0,0.000444938820912125,0,0.000669568128557081,0,0.00320227717487991,0.000415023863872173,0.00252721617418351,0.00292466073935423,0.000968054211035818,0.00318794377626431
Ruminiclostridium,0.00168823860438942,0.00168855534709193,0.00125470514429109,0.00149253731343284,0.00146430750457596,0.00528262017960909,0.000742023250061835,0.00070298769771529,0.0017579841781424,0,0,0,0.000357270453733476,0,0,0,0,0.00142314990512334,0.00693826721223981,0.00186760738742478,0.00447122861586314,0.00128685072531586,0.000887383026782833,0.0066657006230981
Faecalibacterium,0,0.000562851782363977,0.00376411543287327,0.00497512437810945,0.00536912751677852,0.000396196513470681,0.000742023250061835,0,0,0,0.000753579502637528,0.000818665575112567,0.00428724544480171,0.00164428610578241,0.000889877641824249,0.000689021589343133,0.00117174422497489,0.0023719165085389,0.00231275573741327,0.000830047727744345,0.00252721617418351,0.000584932147870847,0.000484027105517909,0.00449210259382698
Allobaculum,0,0,0,0,0,0,0.000247341083353945,0,0,0,0,0,0,0,0,0,0,0,0.00676036292474649,0.00352770284291347,0.00602643856920684,0.00608329433785681,0.00484027105517909,0.0042022895232575
Clostridioides,0,0,0.000418235048097031,0.00066334991708126,0.00048810250152532,0.00382989963021659,0.000742023250061835,0.00210896309314587,0.00117198945209493,0.0008110300081103,0.00226073850791258,0.00122799836266885,0.00125044658806717,0.00986571663469444,0.00111234705228031,0.00275608635737253,0,0.000632511068943707,0.000355808574986657,0,0,0,0.000322684737011939,0.00115925228227793
Desulfitobacterium,0,0,0.000975881778893071,0.00099502487562189,0.00158633312995729,0,0,0,0,0,0,0,0.00571632725973562,0,0.00778642936596218,0.00459347726228755,0.0078674255105457,0.00094876660341556,0,0,0,0,0,0
Intestinimonas,0.00075032826861752,0,0,0,0,0,0.00371011625030918,0,0.00351596835628479,0.0024330900243309,0.00226073850791258,0.00163733115022513,0,0,0,0,0.000836960160696351,0.000790638836179633,0.00177904287493329,0.00394272670678564,0.00388802488335925,0.00233972859148339,0.000726040658276864,0.0017388784234169
Eggerthella,0,0,0.000836470096194061,0.00099502487562189,0.00073215375228798,0,0,0,0,0,0,0,0.00893176134333691,0,0.00734149054505006,0.0041341295360588,0.00518915299631738,0.00158127767235927,0,0,0,0,0,0
Lutispora,0.00150065653723504,0.0024390243902439,0.00446117384636833,0.0124378109452736,0.00695546064673581,0.000528262017960909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,0,0.00418235048097031,0.00265339966832504,0.00427089688834655,0,0.000742023250061835,0,0.00146498681511866,0.00364963503649635,0,0,0,0,0,0,0,0,0.00195694716242661,0.00373521477484955,0.000777604976671851,0.000467945718296678,0.000403355921264924,0.00289813070569483
Enterococcus,0.00037516413430876,0,0,0,0,0,0,0.00597539543057996,0,0.0150040551500406,0,0,0,0,0,0,0,0,0.000889521437466643,0,0,0.000818905007019186,0.000887383026782833,0.0017388784234169
Coprobacillus,0,0.000375234521575985,0,0.00033167495854063,0,0,0,0.00421792618629174,0,0,0.00150715900527506,0.00163733115022513,0.00160771704180064,0.000548095368594135,0,0.000689021589343133,0.00736524941412789,0.000790638836179633,0,0.0014525835235526,0.00194401244167963,0.000467945718296678,0.000322684737011939,0
Mahella,0,0.000375234521575985,0,0,0,0,0.000742023250061835,0.00386643233743409,0,0,0.00150715900527506,0.00163733115022513,0.00321543408360129,0,0,0.00091869545245751,0,0,0.00195694716242661,0.000622535795808259,0.000777604976671851,0.0026906878802059,0.00201677960632462,0.00202869149398638
Mediterraneibacter,0.00243856687300694,0.00131332082551595,0.0013941168269901,0.000497512437810945,0.00036607687614399,0.00198098256735341,0,0,0,0,0,0,0.00178635226866738,0,0,0.000689021589343133,0.00669568128557081,0.000632511068943707,0.000711617149973314,0.000830047727744345,0,0,0.000806711842529848,0.00188378495870164
Orenia,0.00168823860438942,0.00075046904315197,0,0,0,0.000792393026941363,0.00420479841701707,0.00140597539543058,0.00146498681511866,0.0048661800486618,0.00301431801055011,0.00204666393778142,0,0,0,0,0,0,0,0.000415023863872173,0,0,0,0
Acholeplasma,0.009379103357719,0.00863039399624766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criibacterium,0,0,0,0,0,0,0.000742023250061835,0.00105448154657294,0.000878992089071198,0,0,0,0,0,0,0,0,0,0.00426970289983989,0.00124507159161652,0.0031104199066874,0,0,0.00478191566439646
